================================================================
 ANALIZADOR LÉXICO - SUBCONJUNTO DE KOTLIN
================================================================
Archivo analizado : algoritmos/algoritmo2.kt
Analizado por     : KevinGalvez
Fecha y hora      : 14-06-2026 20:56:39
Tokens reconocidos: 76
Errores léxicos   : 0

----------------------------------------------------------------
 TOKENS RECONOCIDOS
----------------------------------------------------------------
   #  TIPO           LEXEMA                  LÍNEA   COL
   1  FUN            fun                         5     1
   2  ID             main                        5     5
   3  PAR_IZQ        (                           5     9
   4  PAR_DER        )                           5    10
   5  LLAVE_IZQ      {                           5    12
   6  VAL            val                         6     5
   7  ID             limite                      6     9
   8  DOS_PUNTOS     :                           6    15
   9  TIPO           Int                         6    17
  10  ASIGNAR        =                           6    21
  11  ENTERO         10                          6    23
  12  VAR            var                         7     5
  13  ID             contador                    7     9
  14  DOS_PUNTOS     :                           7    17
  15  TIPO           Int                         7    19
  16  ASIGNAR        =                           7    23
  17  ENTERO         1                           7    25
  18  VAR            var                         8     5
  19  ID             suma                        8     9
  20  DOS_PUNTOS     :                           8    13
  21  TIPO           Int                         8    15
  22  ASIGNAR        =                           8    19
  23  ENTERO         0                           8    21
  24  WHILE          while                      10     5
  25  PAR_IZQ        (                          10    11
  26  ID             contador                   10    12
  27  MENOR_IGUAL    <=                         10    21
  28  ID             limite                     10    24
  29  PAR_DER        )                          10    30
  30  LLAVE_IZQ      {                          10    32
  31  ID             suma                       11     9
  32  ASIGNAR        =                          11    14
  33  ID             suma                       11    16
  34  MAS            +                          11    21
  35  ID             contador                   11    23
  36  ID             contador                   12     9
  37  ASIGNAR        =                          12    18
  38  ID             contador                   12    20
  39  MAS            +                          12    29
  40  ENTERO         1                          12    31
  41  LLAVE_DER      }                          13     5
  42  PRINT          print                      15     5
  43  PAR_IZQ        (                          15    10
  44  CADENA         "La suma total es: "       15    11
  45  PAR_DER        )                          15    31
  46  PRINTLN        println                    16     5
  47  PAR_IZQ        (                          16    12
  48  ID             suma                       16    13
  49  PAR_DER        )                          16    17
  50  VAL            val                        18     5
  51  ID             promedio                   18     9
  52  DOS_PUNTOS     :                          18    17
  53  TIPO           Double                     18    19
  54  ASIGNAR        =                          18    26
  55  FLOTANTE       5.5                        18    28
  56  VAL            val                        19     5
  57  ID             activo                     19     9
  58  DOS_PUNTOS     :                          19    15
  59  TIPO           Boolean                    19    17
  60  ASIGNAR        =                          19    25
  61  BOOLEANO       true                       19    27
  62  IF             if                         20     5
  63  PAR_IZQ        (                          20     8
  64  ID             activo                     20     9
  65  AND            &&                         20    16
  66  ID             promedio                   20    19
  67  MAYOR          >                          20    28
  68  FLOTANTE       5.0                        20    30
  69  PAR_DER        )                          20    33
  70  LLAVE_IZQ      {                          20    35
  71  PRINTLN        println                    21     9
  72  PAR_IZQ        (                          21    16
  73  CADENA         "Promedio aprobado"        21    17
  74  PAR_DER        )                          21    36
  75  LLAVE_DER      }                          22     5
  76  LLAVE_DER      }                          23     1

----------------------------------------------------------------
 ERRORES LÉXICOS
----------------------------------------------------------------
  Sin errores léxicos.
